0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,y
30,C0,C0,2750,750,2000,6,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,3500.0,,0
21,C0,C1,2799,500,2299,12,C0,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,2700.0,C1,0
25,C0,C1,4798,1000,3798,15,C0,C0,C2,C0,C2,C0,C2,C1,C1,C2,C0,3600.0,,1
36,C1,C0,3698,600,3098,6,C0,C2,C3,C2,C3,C2,C3,C0,C1,C1,C2,3500.0,,0
28,C0,C2,5680,2500,3180,12,C0,C2,C3,C2,C3,C2,C3,C1,C1,C3,C2,6000.0,C2,1
21,C0,C1,3980,1000,2980,12,C0,C2,C3,C2,C3,C2,C3,,C1,C3,C2,2000.0,C1,1
29,C0,C1,3998,199,3799,12,C0,C3,C4,C3,C4,C3,C4,C1,C1,C1,C2,5000.0,C2,1
21,C0,C1,3298,500,2798,24,C0,C2,C5,C2,C5,C2,C5,C1,C1,C4,C1,3800.0,C1,1
35,C1,C0,3999,500,3499,24,C0,C4,C6,C4,C6,C4,C6,C3,C1,C5,C1,6000.0,C1,1
28,C0,C0,4288,1000,3288,12,C0,C5,C7,C5,C7,C5,C7,C1,C1,C6,C1,4000.0,C2,1
26,C0,C1,5850,3000,2850,15,C0,C6,C8,C6,C8,C6,C8,C4,C1,C0,C2,4500.0,C1,1
23,C0,C1,3399,599,2800,12,C0,C7,C9,C7,C9,C7,C9,C5,C1,C2,C1,3000.0,C2,0
27,C0,C1,4288,1300,2988,12,C0,C1,C10,C8,C10,C8,C10,C4,C1,C2,C0,5000.0,C1,1
26,C0,C3,3298,0,3298,12,C0,C4,C6,C9,C11,C9,C11,C1,C1,C7,C2,3500.0,C2,0
35,C1,C3,3298,0,3298,24,C0,C4,C6,C4,C6,C4,C6,C5,C1,C4,C0,3400.0,C1,1
52,C0,C0,5780,2000,3780,12,C0,C8,C11,C10,C12,C10,C12,C0,C1,C3,C0,4600.0,,0
25,C0,C1,3798,300,3498,15,C0,C4,C6,C9,C11,C9,C11,C1,C1,C4,C1,4500.0,C1,1
18,C1,C1,5299,2000,3299,12,C0,C9,C12,C11,C13,C11,C13,C1,C1,C0,C2,5000.0,C1,0
